group,steps,failures,avg_score,fatigue,completed
static,21,17,0.537302107319658,1.0,False
static,17,14,0.6036833814528887,1.0,False
static,34,30,0.573920529642716,1.0,False
static,22,19,0.5369295825138239,1.0,False
static,21,18,0.5374986325365115,1.0,False
static,33,29,0.5312445936165952,1.0,False
static,16,13,0.5762208144469733,1.0,False
static,24,21,0.5150295023341825,1.0,False
static,13,12,0.5261557441849796,1.0,False
static,26,23,0.5745988870397647,1.0,False
static,25,22,0.5360559202397599,1.0,False
static,24,21,0.5090556344939315,1.0,False
static,28,25,0.5524030528784447,1.0,False
static,47,43,0.5354276231260866,1.0,False
static,20,17,0.5721590593578012,1.0,False
static,33,30,0.5128382242735128,1.0,False
static,17,15,0.5246375378449404,1.0,False
static,21,18,0.5629609512858886,1.0,False
static,23,21,0.5182193321770392,1.0,False
static,19,16,0.5562551777089759,1.0,False
static,14,13,0.5428343426561846,1.0,False
static,18,15,0.543762281995318,1.0,False
static,16,13,0.5565616946047237,1.0,False
static,18,16,0.5623939747443606,1.0,False
static,19,17,0.508559493048847,1.0,False
static,16,15,0.5290880108268784,1.0,False
static,32,28,0.5294283041990416,1.0,False
static,23,20,0.5547146430128302,1.0,False
static,15,13,0.5655095504520758,1.0,False
static,20,17,0.5310116943755001,1.0,False
static,38,34,0.5326449215785963,1.0,False
static,30,27,0.5314890124829218,1.0,False
static,20,18,0.5160858701293325,1.0,False
static,27,23,0.5521952770916712,1.0,False
static,28,25,0.5866985148701559,1.0,False
static,30,27,0.5015444218646666,1.0,False
static,22,20,0.5137245145240434,1.0,False
static,19,16,0.5322175407674444,1.0,False
static,21,16,0.5609877357882576,0.6,True
static,27,24,0.5242746120786151,1.0,False
static,15,13,0.5460211496468674,1.0,False
static,24,21,0.5174172134695814,1.0,False
static,25,22,0.5413313347146064,1.0,False
static,37,33,0.5373824786307022,1.0,False
static,21,17,0.5757619594379186,1.0,False
static,26,23,0.5268371046543877,1.0,False
static,27,25,0.5757173555658271,1.0,False
static,22,19,0.5572940066312504,1.0,False
static,20,18,0.525176623207284,1.0,False
static,42,38,0.5376782159079879,1.0,False
static,24,21,0.5720542916974024,1.0,False
static,31,28,0.5289660959646338,1.0,False
static,25,21,0.5097624687201062,1.0,False
static,41,37,0.5243097056556129,1.0,False
static,26,23,0.5701165154466397,1.0,False
static,27,24,0.4922780549850525,1.0,False
static,20,17,0.5185585645292302,1.0,False
static,36,33,0.5546358593953695,1.0,False
static,26,23,0.5712319027329748,1.0,False
static,25,22,0.5308174121430066,1.0,False
static,26,23,0.5354077221703035,1.0,False
static,16,13,0.5468171076344013,1.0,False
static,17,14,0.556533492104991,1.0,False
static,19,16,0.5644665572592462,1.0,False
static,25,22,0.5578566219549528,1.0,False
static,36,32,0.5084772044736047,1.0,False
static,14,12,0.519181557742792,1.0,False
static,14,12,0.4764441527695486,1.0,False
static,17,12,0.6099660673075396,0.33999999999999986,True
static,16,14,0.5557368647823622,1.0,False
static,32,28,0.5729072378483381,1.0,False
static,32,29,0.537538453514083,1.0,False
static,24,21,0.5312396385629058,1.0,False
static,18,16,0.5228574896287296,1.0,False
static,26,23,0.5473407242605209,1.0,False
static,29,26,0.5457711618192875,1.0,False
static,33,29,0.544758802466808,1.0,False
static,24,21,0.5155502348725021,1.0,False
static,18,15,0.5390015928780767,1.0,False
static,23,19,0.5648337704683507,1.0,False
static,29,26,0.5340478184696451,1.0,False
static,19,17,0.49581166717547953,1.0,False
static,18,16,0.5202070876148975,1.0,False
static,17,15,0.5334319905656784,1.0,False
static,19,17,0.5134681198214092,1.0,False
static,26,23,0.5657373492623061,1.0,False
static,18,15,0.5461065817808692,1.0,False
static,31,28,0.49088987931494177,1.0,False
static,19,16,0.5480413221504163,1.0,False
static,25,23,0.47358153578003725,1.0,False
static,13,12,0.48828017457695183,1.0,False
static,21,18,0.5805579390942885,1.0,False
static,29,26,0.5183912417386662,1.0,False
static,20,17,0.561768763192408,1.0,False
static,17,14,0.5417184412472933,1.0,False
static,30,26,0.5573109975134067,1.0,False
static,24,21,0.5655125303545016,1.0,False
static,27,24,0.5729431924395253,1.0,False
static,22,19,0.5806789640741468,1.0,False
static,19,17,0.5731722174408242,1.0,False
static,26,23,0.5245033549984572,1.0,False
static,25,22,0.5249659533209522,1.0,False
static,23,20,0.5490537882576014,1.0,False
static,34,30,0.5341087636333222,1.0,False
static,18,16,0.5083567374724669,1.0,False
static,29,24,0.5916879097365059,0.6,True
static,13,12,0.47622962397184637,1.0,False
static,22,19,0.52639234829991,1.0,False
static,22,19,0.5534061785163193,1.0,False
static,14,12,0.5016121284586765,1.0,False
static,28,24,0.5296525811435937,1.0,False
static,32,27,0.550865730915776,0.6,True
static,23,20,0.5255287889628292,1.0,False
static,27,24,0.5708579670231516,1.0,False
static,24,20,0.5222275065344892,1.0,False
static,13,12,0.5083977668016041,1.0,False
static,28,24,0.5846152547812725,1.0,False
static,26,23,0.5346430794437488,1.0,False
static,19,15,0.5463977140706185,1.0,False
static,20,16,0.5368306233304195,1.0,False
static,17,14,0.5693740384363936,1.0,False
static,25,21,0.5781646068575592,1.0,False
static,20,17,0.5816095505801976,1.0,False
static,31,28,0.5136755745276411,1.0,False
static,29,26,0.5221502898523709,1.0,False
static,23,19,0.6065265685124279,1.0,False
static,30,26,0.5184372628289521,1.0,False
static,24,21,0.4984350568727005,1.0,False
static,23,21,0.5181093314374443,1.0,False
static,23,20,0.5466121859092795,1.0,False
static,25,22,0.5234193926662156,1.0,False
static,28,25,0.5370692085039467,1.0,False
static,13,12,0.5436249978528704,1.0,False
static,17,14,0.5694355320418422,1.0,False
static,26,23,0.5334329178440366,1.0,False
static,17,14,0.5731736201239672,1.0,False
static,20,18,0.5418306052977685,1.0,False
static,15,13,0.5198489564984505,1.0,False
static,19,17,0.5371284955348203,1.0,False
static,29,26,0.5612653193157443,1.0,False
static,19,17,0.5140045336217343,1.0,False
static,25,22,0.5518490351532412,1.0,False
static,18,15,0.5136734721130272,1.0,False
static,27,23,0.5617506967632477,1.0,False
static,33,30,0.5231324066725641,1.0,False
static,19,17,0.5542605442928498,1.0,False
static,29,25,0.5005901066620515,1.0,False
static,21,18,0.5691450771321396,1.0,False
static,22,20,0.5134300098134825,1.0,False
